position,company_name,alternate_name,company_url,image_url,rating,rating_count,industry_and_location,highlights,reviews_count,salaries_count,interviews_count,jobs_count,benefits_count,photos_count
1,TCS,Tata Consultancy Services,https://www.ambitionbox.com/overview/tcs-overview,https://static.ambitionbox.com/alpha/company/photos/logos/tcs.jpg,3.3,(1.1L),IT Services & Consulting | Bangalore / Bengaluru +438 other locations,"Highly Rated For Job Security Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",1.1L,9.7L,11.7k,3k,10.6k,93
2,Accenture,Accenture overview,https://www.ambitionbox.com/overview/accenture-overview,https://static.ambitionbox.com/alpha/company/photos/logos/accenture.jpg,3.7,(71k),IT Services & Consulting | Bangalore / Bengaluru +256 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",71k,6.5L,9.1k,35.7k,6.7k,48
3,Wipro,Wipro overview,https://www.ambitionbox.com/overview/wipro-overview,https://static.ambitionbox.com/alpha/company/photos/logos/wipro.jpg,3.6,(62.9k),IT Services & Consulting | Hyderabad / Secunderabad +370 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",62.9k,4.7L,6.5k,6.6k,4.6k,102
4,Cognizant,Cognizant overview,https://www.ambitionbox.com/overview/cognizant-overview,https://static.ambitionbox.com/alpha/company/photos/logos/cognizant.jpg,3.6,(59.8k),IT Services & Consulting | Hyderabad / Secunderabad +229 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",59.8k,5.9L,6.3k,633,5.5k,82
5,Capgemini,Capgemini overview,https://www.ambitionbox.com/overview/capgemini-overview,https://static.ambitionbox.com/alpha/company/photos/logos/capgemini.jpg,3.7,(51.4k),IT Services & Consulting | Bangalore / Bengaluru +183 other locations,"Highly Rated For Work Life Balance, Job Security Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",51.4k,4.7L,5.4k,1.8k,3.6k,41
6,HDFC Bank,HDFC Bank overview,https://www.ambitionbox.com/overview/hdfc-bank-overview,https://static.ambitionbox.com/alpha/company/photos/logos/hdfc-bank.jpg,3.8,(50.4k),Banking | Mumbai +1817 other locations,"Highly Rated For Job Security, Skill Development / Learning Critically Rated For Promotions / Appraisal, Salary & Benefits",50.4k,1.5L,2.9k,238,3.2k,72
7,Infosys,Infosys overview,https://www.ambitionbox.com/overview/infosys-overview,https://static.ambitionbox.com/alpha/company/photos/logos/infosys.jpg,3.5,(47.1k),IT Services & Consulting | Bangalore / Bengaluru +246 other locations,"Highly Rated For Job Security Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",47.1k,5.2L,8.3k,2.1k,4.8k,117
8,ICICI Bank,ICICI Bank overview,https://www.ambitionbox.com/overview/icici-bank-overview,https://static.ambitionbox.com/alpha/company/photos/logos/icici_bank.jpg,4.0,(45.1k),Banking | Mumbai +1437 other locations,"Highly Rated For Job Security, Promotions / Appraisal, Skill Development / Learning",45.1k,1.5L,2.9k,17,3.7k,71
9,HCLTech,HCL Technologies,https://www.ambitionbox.com/overview/hcl-technologies-overview,https://static.ambitionbox.com/alpha/company/photos/logos/hcl-technologies-88.jpg,3.4,(44.3k),IT Services & Consulting | Chennai +226 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",44.3k,3.7L,4.4k,178,3.8k,63
10,Tech Mahindra,Tech Mahindra overview,https://www.ambitionbox.com/overview/tech-mahindra-overview,https://static.ambitionbox.com/alpha/company/photos/logos/tech-mahindra.jpg,3.4,(42.3k),IT Services & Consulting | Hyderabad / Secunderabad +337 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",42.3k,2.8L,4.4k,352,3.4k,79
11,Genpact,Genpact overview,https://www.ambitionbox.com/overview/genpact-overview,https://static.ambitionbox.com/alpha/company/photos/logos/genpact.jpg,3.6,(40.7k),IT Services & Consulting | Hyderabad / Secunderabad +182 other locations,"Highly Rated For Job Security Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",40.7k,2.3L,3.7k,520,3.5k,63
12,Teleperformance,Teleperformance overview,https://www.ambitionbox.com/overview/teleperformance-overview,https://static.ambitionbox.com/alpha/company/photos/logos/teleperformance-group.jpg,3.8,(36.4k),BPO | Mumbai +254 other locations,Critically Rated For Promotions / Appraisal,36.4k,95.7k,2.1k,1.2k,1.8k,38
13,Axis Bank,Axis Bank overview,https://www.ambitionbox.com/overview/axis-bank-overview,https://static.ambitionbox.com/alpha/company/photos/logos/axis-bank.jpg,3.6,(32.2k),Banking | Mumbai +1499 other locations,"Critically Rated For Promotions / Appraisal, Work Satisfaction, Company Culture",32.2k,1L,1.8k,204,2.1k,120
14,Jio,Reliance jio,https://www.ambitionbox.com/overview/jio-overview,https://static.ambitionbox.com/alpha/company/photos/logos/reliance-jio-infocomm.jpg,4.3,(31.8k),Telecom | Mumbai +1871 other locations,"Highly Rated For Job Security, Work Life Balance, Skill Development / Learning",31.8k,61.5k,3.6k,3,2.5k,83
15,Concentrix Corporation,Concentrix Corporation overview,https://www.ambitionbox.com/overview/concentrix-corporation-overview,https://static.ambitionbox.com/alpha/company/photos/logos/concentrix-corporation.jpg,3.6,(31.5k),BPO | Bangalore / Bengaluru +179 other locations,"Highly Rated For Job Security Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",31.5k,1.3L,1.9k,73,3.1k,66
16,Amazon,Amazon overview,https://www.ambitionbox.com/overview/amazon-overview,https://static.ambitionbox.com/alpha/company/photos/logos/amazon.jpg,3.9,(30.7k),Internet | Bangalore / Bengaluru +521 other locations,"Highly Rated For Company Culture, Work Life Balance, Salary & Benefits Critically Rated For Promotions / Appraisal",30.7k,1.5L,5.7k,1.4k,4.1k,88
17,iEnergizer,ienergizer,https://www.ambitionbox.com/overview/ienergizer-overview,https://static.ambitionbox.com/alpha/company/photos/logos/ienergizer.jpg,4.6,(27.4k),BPO | Noida +51 other locations,"Highly Rated For Company Culture, Work Life Balance, Work Satisfaction",27.4k,24k,1k,50,430,28
18,Reliance Retail,Reliance Retail Limited,https://www.ambitionbox.com/overview/reliance-retail-overview,https://static.ambitionbox.com/alpha/company/photos/logos/reliance-retail-limited.jpg,3.9,(26.9k),Retail | Mumbai +1149 other locations,"Highly Rated For Job Security, Skill Development / Learning, Work Life Balance Critically Rated For Promotions / Appraisal",26.9k,74.4k,1.9k,97,1.8k,133
19,LTIMindtree,LTIMindtree overview,https://www.ambitionbox.com/overview/ltimindtree-overview,https://static.ambitionbox.com/alpha/company/photos/logos/ltimindtree.jpg,3.6,(25.7k),IT Services & Consulting | Bangalore / Bengaluru +146 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",25.7k,1.9L,3.3k,384,776,34
20,IBM,IBM overview,https://www.ambitionbox.com/overview/ibm-overview,https://static.ambitionbox.com/alpha/company/photos/logos/ibm.jpg,3.9,(25.3k),IT Services & Consulting | Bangalore / Bengaluru +160 other locations,"Highly Rated For Work Life Balance, Company Culture, Job Security Critically Rated For Promotions / Appraisal",25.3k,2.1L,2.6k,1.8k,2.6k,23
1,HDB Financial Services,HDB Financial Services overview,https://www.ambitionbox.com/overview/hdb-financial-services-overview,https://static.ambitionbox.com/alpha/company/photos/logos/hdb-financial-services-6193.jpg,3.9,(25.1k),NBFC | Mumbai +1089 other locations,"Highly Rated For Job Security, Skill Development / Learning Critically Rated For Promotions / Appraisal, Salary & Benefits",25.1k,50.1k,1k,159,1.5k,70
2,Larsen & Toubro Limited,Larsen and Toubro,https://www.ambitionbox.com/overview/larsen-and-toubro-limited-overview,https://static.ambitionbox.com/alpha/company/photos/logos/larsen-and-toubro-limited.jpg,3.9,(23k),Engineering & Construction | Chennai +752 other locations,"Highly Rated For Job Security, Skill Development / Learning Critically Rated For Promotions / Appraisal, Work Life Balance",23k,73.7k,1.7k,166,2.5k,64
3,Deloitte,Deloitte overview,https://www.ambitionbox.com/overview/deloitte-overview,https://static.ambitionbox.com/alpha/company/photos/logos/deloitte-us-india.jpg,3.7,(22.3k),Management Consulting | Hyderabad / Secunderabad +187 other locations,"Critically Rated For Promotions / Appraisal, Work Life Balance, Work Satisfaction",22.3k,2.5L,3.2k,1k,2.4k,25
4,Kotak Mahindra Bank,Kotak Mahindra Bank Ltd..,https://www.ambitionbox.com/overview/kotak-mahindra-bank-overview,https://static.ambitionbox.com/alpha/company/photos/logos/kotak-mahindra-bank.jpg,3.6,(21.8k),Banking | Mumbai +681 other locations,"Critically Rated For Promotions / Appraisal, Work Satisfaction, Company Culture",21.8k,86.5k,1.3k,67,1.3k,42
5,Reliance Industries,Reliance Industries Limited,https://www.ambitionbox.com/overview/reliance-industries-overview,https://static.ambitionbox.com/alpha/company/photos/logos/reliance.jpg,4.0,(19.7k),Oil & Gas | Jamnagar +812 other locations,"Highly Rated For Job Security, Work Life Balance, Skill Development / Learning Critically Rated For Promotions / Appraisal",19.7k,72.5k,1.5k,55,1.8k,38
6,Vodafone Idea,vodafone idea,https://www.ambitionbox.com/overview/vodafone-idea-overview,https://static.ambitionbox.com/alpha/company/photos/logos/vodafone-idea.jpg,3.9,(17.5k),Telecom | Pune +700 other locations,"Highly Rated For Salary & Benefits, Company Culture, Work Life Balance Critically Rated For Promotions / Appraisal",17.5k,50.2k,657,50,2k,21
7,Bharti Airtel,Bharti Airtel overview,https://www.ambitionbox.com/overview/bharti-airtel-overview,https://static.ambitionbox.com/alpha/company/photos/logos/airtel-bharti.jpg,3.8,(16.8k),Telecom | Gurgaon / Gurugram +790 other locations,Critically Rated For Promotions / Appraisal,16.8k,49k,1.1k,110,1.6k,96
8,BYJU'S,BYJU'S overview,https://www.ambitionbox.com/overview/byjus-overview,https://static.ambitionbox.com/alpha/company/photos/logos/byjus-152843.jpg,3.2,(16.6k),EdTech | Bangalore / Bengaluru +322 other locations,"Critically Rated For Job Security, Work Life Balance, Company Culture",16.6k,55.6k,2.1k,--,1.7k,28
9,WNS,WNS overview,https://www.ambitionbox.com/overview/wns-overview,https://static.ambitionbox.com/alpha/company/photos/logos/wns-global-services.jpg,3.3,(14.7k),IT Services & Consulting | Pune +65 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits, Company Culture",14.7k,69.9k,1.2k,78,1.3k,24
10,Tata Motors,Tata Motors overview,https://www.ambitionbox.com/overview/tata-motors-overview,https://static.ambitionbox.com/alpha/company/photos/logos/tata-motors.jpg,4.1,(13.9k),Automobile | Pune +506 other locations,"Highly Rated For Job Security, Company Culture, Work Life Balance Critically Rated For Promotions / Appraisal",13.9k,43k,1.2k,162,1.6k,43
11,IDFC FIRST Bank,IDFC Bank,https://www.ambitionbox.com/overview/idfc-first-bank-overview,https://static.ambitionbox.com/alpha/company/photos/logos/idfc-first-bank.jpg,3.9,(13.9k),Banking | Mumbai +710 other locations,"Highly Rated For Salary & Benefits, Skill Development / Learning",13.9k,49.5k,889,44,695,96
12,Ernst & Young,Ernst Young,https://www.ambitionbox.com/overview/ernst-young-overview,https://static.ambitionbox.com/alpha/company/photos/logos/ey.jpg,3.4,(13.8k),Management Consulting | Bangalore / Bengaluru +131 other locations,"Critically Rated For Promotions / Appraisal, Work Life Balance, Work Satisfaction",13.8k,1.4L,1.3k,3k,1.2k,7
13,IndusInd Bank,IndusInd Bank overview,https://www.ambitionbox.com/overview/indusind-bank-overview,https://static.ambitionbox.com/alpha/company/photos/logos/indusind-bank.jpg,3.4,(13.8k),Banking | Mumbai +788 other locations,"Critically Rated For Promotions / Appraisal, Company Culture, Work Satisfaction",13.8k,52k,742,138,793,16
14,AU Small Finance Bank,AU Small Finance Bank overview,https://www.ambitionbox.com/overview/au-small-finance-bank-overview,https://static.ambitionbox.com/alpha/company/photos/logos/au-small-finance-bank.jpg,3.9,(13.7k),Banking | Jaipur +780 other locations,"Highly Rated For Work Life Balance, Skill Development / Learning, Salary & Benefits",13.7k,28.8k,654,15,577,26
15,Flipkart,Flipkart overview,https://www.ambitionbox.com/overview/flipkart-overview,https://static.ambitionbox.com/alpha/company/photos/logos/flipkart-28.jpg,3.9,(12.6k),Internet | Bangalore / Bengaluru +560 other locations,"Highly Rated For Company Culture, Skill Development / Learning Critically Rated For Promotions / Appraisal",12.6k,54.2k,1.6k,158,1.4k,102
16,Bajaj Finserv,Bajaj Finserv overview,https://www.ambitionbox.com/overview/bajaj-finserv-overview,https://static.ambitionbox.com/alpha/company/photos/logos/bajaj-finserv.jpg,3.9,(12.5k),NBFC | Pune +1160 other locations,"Highly Rated For Salary & Benefits, Skill Development / Learning, Job Security",12.5k,30k,693,4,706,15
17,Muthoot FinCorp,Muthoot FinCorp overview,https://www.ambitionbox.com/overview/muthoot-fincorp-overview,https://static.ambitionbox.com/alpha/company/photos/logos/muthoot-fincorp.jpg,4.5,(12k),NBFC | Bangalore / Bengaluru +1086 other locations,"Highly Rated For Company Culture, Work Life Balance, Job Security",12k,8.8k,1.9k,41,275,88
18,PwC,Price Waterhouse Coopers,https://www.ambitionbox.com/overview/pwc-overview,https://static.ambitionbox.com/alpha/company/photos/logos/pwc.jpg,3.3,(12k),Management Consulting | Bangalore / Bengaluru +132 other locations,"Critically Rated For Promotions / Appraisal, Work Life Balance, Work Satisfaction",12k,1.2L,1.5k,853,800,24
19,DXC Technology,DXC Technology overview,https://www.ambitionbox.com/overview/dxc-technology-overview,https://static.ambitionbox.com/alpha/company/photos/logos/dxc-technology.jpg,3.6,(11.8k),IT Services & Consulting | Bangalore / Bengaluru +133 other locations,"Highly Rated For Work Life Balance Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",11.8k,72.5k,881,208,1.1k,6
20,Mahindra & Mahindra,Mahindra & Mahindra overview,https://www.ambitionbox.com/overview/mahindra-and-mahindra-overview,https://static.ambitionbox.com/alpha/company/photos/logos/mahindra-and-mahindra.jpg,4.0,(11.8k),Automobile | Pune +558 other locations,"Highly Rated For Job Security, Skill Development / Learning, Company Culture Critically Rated For Promotions / Appraisal",11.8k,39.4k,824,--,1.2k,15
1,Infosys BPM,Infosys BPM,https://www.ambitionbox.com/overview/infosys-bpm-overview,https://static.ambitionbox.com/alpha/company/photos/logos/infosys-bpm.jpg,3.5,(11.7k),BPO | Bangalore / Bengaluru +95 other locations,"Highly Rated For Job Security Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",11.7k,72.7k,1.1k,107,1.1k,6
2,HDFC Life,HDFC LIFE,https://www.ambitionbox.com/overview/hdfc-life-overview,https://static.ambitionbox.com/alpha/company/photos/logos/hdfc-life.jpg,3.9,(11.7k),Insurance | Mumbai +696 other locations,"Highly Rated For Job Security, Skill Development / Learning",11.7k,33.1k,762,110,614,55
3,Bandhan Bank,Bandhan Bank overview,https://www.ambitionbox.com/overview/bandhan-bank-overview,https://static.ambitionbox.com/alpha/company/photos/logos/bandhan-bank-152668.jpg,3.7,(10.6k),Banking | Kolkata +993 other locations,"Critically Rated For Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",10.6k,25.7k,706,5,517,41
4,Conneqt Business Solutions,Conneqt Business Solutions overview,https://www.ambitionbox.com/overview/conneqt-business-solutions-overview,https://static.ambitionbox.com/alpha/company/photos/logos/conneqt-business-solutions.jpg,3.6,(10.1k),BPO | Hyderabad / Secunderabad +266 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",10.1k,26.6k,545,363,772,47
5,Mphasis,Mphasis overview,https://www.ambitionbox.com/overview/mphasis-overview,https://static.ambitionbox.com/alpha/company/photos/logos/mphasis.jpg,3.3,(10k),IT Services & Consulting | Bangalore / Bengaluru +63 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",10k,73.3k,903,29,846,124
6,Yes Bank,Yes Bank overview,https://www.ambitionbox.com/overview/yes-bank-overview,https://static.ambitionbox.com/alpha/company/photos/logos/yes-bank.jpg,3.7,(9.9k),Banking | Mumbai +540 other locations,"Critically Rated For Job Security, Promotions / Appraisal, Company Culture",9.9k,43.3k,537,199,608,18
7,Tata Steel,TATA Steel,https://www.ambitionbox.com/overview/tata-steel-overview,https://static.ambitionbox.com/alpha/company/photos/logos/tata-steel.jpg,4.0,(9.7k),Iron & Steel | Jamshedpur +226 other locations,"Highly Rated For Work Life Balance, Job Security, Company Culture Critically Rated For Promotions / Appraisal",9.7k,33.8k,1k,--,659,50
8,Quess,Quess overview,https://www.ambitionbox.com/overview/quess-overview,https://static.ambitionbox.com/alpha/company/photos/logos/quess.jpg,3.8,(9.5k),Recruitment | Bangalore / Bengaluru +740 other locations,"Critically Rated For Promotions / Appraisal, Job Security",9.5k,30.5k,518,3,440,22
9,Asian Paints,Asian Paints overview,https://www.ambitionbox.com/overview/asian-paints-overview,https://static.ambitionbox.com/alpha/company/photos/logos/asianpaints.jpg,3.9,(9.3k),Chemicals | Mumbai +548 other locations,"Highly Rated For Salary & Benefits, Skill Development / Learning, Job Security Critically Rated For Promotions / Appraisal",9.3k,24.9k,818,52,884,34
10,Startek,Startek overview,https://www.ambitionbox.com/overview/startek-overview,https://static.ambitionbox.com/alpha/company/photos/logos/startek_565351.jpg,3.1,(9.3k),BPO | Bangalore / Bengaluru +107 other locations,"Critically Rated For Promotions / Appraisal, Work Satisfaction, Salary & Benefits",9.3k,24.5k,606,136,681,16
